targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing ,department_sweing,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,output_per_worker,overtime_flag
0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.902916667,0,0,0,0,1,0,1,0,0,0,0,6.4,1
0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314,0,0,0,0,0,1,1,0,0,0,0,45.2,1
0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936,0,0,0,0,0,1,1,0,0,0,0,43.6,1
0.8,26.16,1252.5,7080,50,0.0,0,0,59.0,0.800318644,0,0,0,0,0,1,1,0,0,0,0,47.2,1
0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644,0,0,0,0,0,1,1,0,0,0,0,47.2,1
0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288,0,0,0,0,0,1,1,0,0,0,0,23.6,1
0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649,0,0,0,0,0,1,1,0,0,0,0,25.200000000000003,1
0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125,0,0,0,0,0,1,1,0,0,0,0,44.800000000000004,1
0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125,0,0,0,0,0,1,1,0,0,0,0,44.800000000000004,1
0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691,0,0,0,0,0,1,1,0,0,0,0,40.5,1
0.8,4.15,1039.0,960,0,0.0,0,0,8.0,0.782447917,0,0,0,0,1,0,1,0,0,0,0,6.4,1
0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,0,0,0,0,0,1,1,0,0,0,0,41.25,1
0.7,4.15,1039.0,960,0,0.0,0,0,8.0,0.7018125,0,0,0,0,1,0,1,0,0,0,0,5.6,1
0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038,0,0,0,0,0,1,1,0,0,0,0,42.0,1
0.7,28.08,1072.0,6900,40,0.0,0,0,57.5,0.699965217,0,0,0,0,0,1,1,0,0,0,0,40.25,1
0.8,2.9,1039.0,960,0,0.0,0,0,8.0,0.628333333,0,0,0,0,1,0,1,0,0,0,0,6.4,1
0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.6253125,0,0,0,0,1,0,1,0,0,0,0,6.4,1
0.75,4.15,1039.0,1560,0,0.0,0,0,8.0,0.991388889,0,0,0,0,1,0,0,1,0,0,0,6.0,1
0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.931645833,0,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.915229167,0,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482,0,0,0,0,0,1,0,1,0,0,0,24.8,1
0.8,3.94,1039.0,6600,0,0.0,0,0,20.0,0.861679012,0,0,0,0,1,0,0,1,0,0,0,16.0,1
0.8,26.16,1252.5,7080,60,0.0,0,0,59.0,0.850569492,0,0,0,0,0,1,0,1,0,0,0,47.2,1
0.8,25.9,1227.0,7020,60,0.0,0,0,56.5,0.850436438,0,0,0,0,0,1,0,1,0,0,0,45.2,1
0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,0.850345133,0,0,0,0,0,1,0,1,0,0,0,45.2,1
0.8,28.08,878.0,4260,50,0.0,0,0,55.5,0.800598058,0,0,0,0,0,1,0,1,0,0,0,44.400000000000006,1
0.8,26.16,1033.0,7080,63,0.0,0,0,59.0,0.800318644,0,0,0,0,0,1,0,1,0,0,0,47.2,1
0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.800237838,0,0,0,0,0,1,0,1,0,0,0,44.400000000000006,1
0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030199,0,0,0,0,0,1,0,1,0,0,0,24.8,1
0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.792104167,0,0,0,0,1,0,0,1,0,0,0,6.4,1
0.7,3.94,1039.0,4320,0,0.0,0,0,18.0,0.759228395,0,0,0,0,1,0,0,1,0,0,0,12.6,1
0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.750348457,0,0,0,0,0,1,0,1,0,0,0,40.5,1
0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303,0,0,0,0,0,1,0,1,0,0,0,41.25,1
0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965217,0,0,0,0,0,1,0,1,0,0,0,40.25,1
0.8,2.9,1039.0,960,0,0.0,0,0,8.0,0.682708333,0,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,2.9,1039.0,960,0,0.0,0,0,8.0,0.667604167,0,0,0,0,1,0,0,1,0,0,0,6.4,1
0.7,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432184,0,0,0,0,0,1,0,1,0,0,0,40.599999999999994,1
0.75,4.15,1039.0,960,0,0.0,0,0,8.0,0.345833333,0,0,0,0,1,0,0,1,0,0,0,6.0,1
0.8,3.94,1039.0,1920,0,0.0,0,0,8.0,0.961059028,0,0,0,0,1,0,0,0,0,0,0,6.4,1
0.8,3.94,1039.0,2400,0,0.0,0,0,10.0,0.939513889,0,0,0,0,1,0,0,0,0,0,0,8.0,1
0.8,3.94,1039.0,3840,0,0.0,0,0,16.0,0.893663194,0,0,0,0,1,0,0,0,0,0,0,12.8,1
0.75,4.15,1039.0,1920,0,0.0,0,0,8.0,0.875390625,0,0,0,0,1,0,0,0,0,0,0,6.0,1
0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569492,0,0,0,0,0,1,0,0,0,0,0,47.2,1
0.8,2.9,1039.0,1920,0,0.0,0,0,8.0,0.820833333,0,0,0,0,1,0,0,0,0,0,0,6.4,1
0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.804416667,0,0,0,0,1,0,0,0,0,0,0,6.4,1
0.8,25.9,1252.5,6780,50,0.0,0,0,56.5,0.800684366,0,0,0,0,0,1,0,0,0,0,0,45.2,1
0.8,25.9,1047.0,6780,38,0.0,0,0,56.5,0.800684366,0,0,0,0,0,1,0,0,0,0,0,45.2,1
0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.800318644,0,0,0,0,0,1,0,0,0,0,0,47.2,1
0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962,0,0,0,0,0,1,0,0,0,0,0,44.0,1
0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246011,0,0,0,0,0,1,0,0,0,0,0,25.6,1
0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.800246011,0,0,0,0,0,1,0,0,0,0,0,25.6,1
0.8,28.08,757.0,6900,50,0.0,0,0,57.5,0.800076522,0,0,0,0,0,1,0,0,0,0,0,46.0,1
0.8,28.08,759.0,6900,50,0.0,0,0,57.5,0.800076522,0,0,0,0,0,1,0,0,0,0,0,46.0,1
0.75,2.9,1039.0,960,0,0.0,0,0,8.0,0.763375,0,0,0,0,1,0,0,0,0,0,0,6.0,1
0.6,2.9,1039.0,960,0,0.0,0,0,8.0,0.759270833,0,0,0,0,1,0,0,0,0,0,0,4.8,1
0.75,28.08,1083.0,7020,45,0.0,0,0,58.5,0.7504,0,0,0,0,0,1,0,0,0,0,0,43.875,1
0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,0,0,0,0,0,1,0,0,0,0,0,41.25,1
0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.676666667,0,0,0,0,1,0,0,0,0,0,0,6.4,1
0.8,2.9,1039.0,960,0,0.0,0,0,8.0,0.664583333,0,0,0,0,1,0,0,0,0,0,0,6.4,1
0.6,21.98,666.0,6960,23,0.0,0,0,58.0,0.600028736,0,0,0,0,0,1,0,0,0,0,0,34.8,1
0.8,3.94,1039.0,4440,0,0.0,0,0,18.0,0.966781346,0,0,0,0,1,0,0,0,0,1,0,14.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.936496212,0,0,0,0,1,0,0,0,0,1,0,6.4,1
0.75,4.15,1039.0,1800,0,0.0,0,0,10.0,0.899166667,0,0,0,0,1,0,0,0,0,1,0,7.5,1
0.8,4.15,1039.0,2700,0,0.0,0,0,15.0,0.888686869,0,0,0,0,1,0,0,0,0,1,0,12.0,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.858143939,0,0,0,0,1,0,0,0,0,1,0,6.4,1
0.8,26.16,1187.0,10620,75,0.0,0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,1,0,47.2,1
0.8,26.16,1252.5,10620,75,0.0,0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,1,0,47.2,1
0.75,3.94,1039.0,1440,0,0.0,0,0,8.0,0.809640152,0,0,0,0,1,0,0,0,0,1,0,6.0,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.805909091,0,0,0,0,1,0,0,0,0,1,0,6.4,1
0.8,28.08,716.0,10350,50,0.0,0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,1,0,46.0,1
0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,1,0,46.0,1
0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.800273829,0,0,0,0,0,1,0,0,0,1,0,44.0,1
0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.800140969,0,0,0,0,0,1,0,0,0,1,0,25.200000000000003,1
0.8,25.9,1035.0,10170,38,0.0,0,0,56.5,0.800128721,0,0,0,0,0,1,0,0,0,1,0,45.2,1
0.8,25.9,1083.0,10170,38,0.0,0,0,56.5,0.800128721,0,0,0,0,0,1,0,0,0,1,0,45.2,1
0.8,11.61,910.0,4470,38,0.0,0,0,31.5,0.80007657,0,0,0,0,0,1,0,0,0,1,0,25.200000000000003,1
0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545455,0,0,0,0,0,1,0,0,0,1,0,43.875,1
0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.750057851,0,0,0,0,0,1,0,0,0,1,0,41.25,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.681060606,0,0,0,0,1,0,0,0,0,1,0,6.4,1
0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281,0,0,0,0,0,1,0,0,0,1,0,37.7,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.61625,0,0,0,0,1,0,0,0,0,1,0,6.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.951420455,0,0,0,0,1,0,0,0,0,0,1,6.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.880530303,0,0,0,0,1,0,0,0,0,0,1,6.4,1
0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,0,1,47.2,1
0.8,26.16,1252.5,10620,75,0.0,0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,0,1,47.2,1
0.8,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850136766,0,0,0,0,0,1,0,0,0,0,1,45.2,1
0.75,4.15,1039.0,2700,0,0.0,0,0,15.0,0.83,0,0,0,0,1,0,0,0,0,0,1,11.25,1
0.8,3.94,1039.0,4440,0,0.0,0,0,18.0,0.827186544,0,0,0,0,1,0,0,0,0,0,1,14.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.813371212,0,0,0,0,1,0,0,0,0,0,1,6.4,1
0.75,3.94,1039.0,1440,0,0.0,0,0,8.0,0.805909091,0,0,0,0,1,0,0,0,0,0,1,6.0,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.804640152,0,0,0,0,1,0,0,0,0,0,1,6.4,1
0.8,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,0,1,46.0,1
0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,0,1,46.0,1
0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.800343766,0,0,0,0,0,1,0,0,0,0,1,24.400000000000002,1
0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.800273829,0,0,0,0,0,1,0,0,0,0,1,44.0,1
0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.800246753,0,0,0,0,0,1,0,0,0,0,1,25.200000000000003,1
0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721,0,0,0,0,0,1,0,0,0,0,1,45.2,1
0.75,28.08,1144.0,10530,69,0.0,0,0,58.5,0.8,0,0,0,0,0,1,0,0,0,0,1,43.875,1
0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.700480831,0,0,0,0,0,1,0,0,0,0,1,40.599999999999994,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.681060606,0,0,0,0,1,0,0,0,0,0,1,6.4,1
0.8,2.9,1039.0,1800,0,0.0,0,0,10.0,0.666515152,0,0,0,0,1,0,0,0,0,0,1,8.0,1
0.8,31.83,568.0,9900,40,0.0,0,0,55.0,0.412119835,0,0,0,0,0,1,0,0,0,0,1,44.0,1
0.7,4.15,1039.0,1440,0,0.0,0,0,8.0,0.330113636,0,0,0,0,1,0,0,0,0,0,1,5.6,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.947689394,1,0,0,0,1,0,0,0,1,0,0,6.4,1
0.8,3.94,1039.0,12600,0,0.0,0,0,20.0,0.919905405,1,0,0,0,1,0,0,0,1,0,0,16.0,1
0.8,26.16,1216.0,10620,88,0.0,0,0,59.0,0.900215716,1,0,0,0,0,1,0,0,1,0,0,47.2,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.891723485,1,0,0,0,1,0,0,0,1,0,0,6.4,1
0.8,26.16,1189.0,10620,75,0.0,0,0,59.0,0.850502311,1,0,0,0,0,1,0,0,1,0,0,47.2,1
0.8,28.08,942.0,10530,75,0.0,0,0,58.5,0.850181818,1,0,0,0,0,1,0,0,1,0,0,46.800000000000004,1
0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,0,0,1,0,0,45.2,1
0.8,25.9,1026.0,10170,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,0,0,1,0,0,45.2,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.835757576,1,0,0,0,1,0,0,0,1,0,0,6.4,1
0.7,4.15,1039.0,3840,0,0.0,0,0,8.0,0.821354167,1,0,0,0,1,0,0,0,1,0,0,5.6,1
0.8,28.08,783.0,10050,63,0.0,0,0,58.5,0.800497246,1,0,0,0,0,1,0,0,1,0,0,46.800000000000004,1
0.8,19.87,857.0,9900,50,0.0,0,0,55.0,0.800273829,1,0,0,0,0,1,0,0,1,0,0,44.0,1
0.8,11.61,548.0,15120,63,0.0,0,0,31.5,0.800107143,1,0,0,0,0,1,0,0,1,0,0,25.200000000000003,1
0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932,1,0,0,0,0,1,0,0,1,0,0,24.400000000000002,1
0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,0.8,1,0,0,0,0,1,0,0,1,0,0,43.875,1
0.75,3.94,1039.0,1440,0,0.0,0,0,8.0,0.779791667,1,0,0,0,1,0,0,0,1,0,0,6.0,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.735984848,1,0,0,0,1,0,0,0,1,0,0,6.4,1
0.75,4.15,1039.0,2160,0,0.0,0,0,12.0,0.712626263,1,0,0,0,1,0,0,0,1,0,0,9.0,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.681060606,1,0,0,0,1,0,0,0,1,0,0,6.4,1
0.8,4.15,1039.0,900,0,0.0,0,0,5.0,0.515606061,1,0,0,0,1,0,0,0,1,0,0,4.0,1
0.35,12.52,287.0,15240,38,0.0,0,0,54.0,0.349951389,1,0,0,0,0,1,0,0,1,0,0,18.9,1
0.7,42.41,724.0,10260,0,0.0,0,0,57.0,0.233705476,1,0,0,0,0,1,0,0,1,0,0,39.9,1
0.8,3.94,1039.0,2160,0,0.0,0,0,8.0,0.985,1,0,0,0,1,0,1,0,0,0,0,6.4,1
0.75,4.15,1039.0,2760,0,0.0,0,0,12.0,0.930340376,1,0,0,0,1,0,1,0,0,0,0,9.0,1
0.8,3.94,1039.0,6000,0,0.0,0,0,20.0,0.911589744,1,0,0,0,1,0,1,0,0,0,0,16.0,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.858143939,1,0,0,0,1,0,1,0,0,0,0,6.4,1
0.8,26.16,1122.0,10620,75,0.0,0,0,59.0,0.851174114,1,0,0,0,0,1,1,0,0,0,0,47.2,1
0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,1,0,0,0,0,45.2,1
0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,1,0,0,0,0,45.2,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.846950758,1,0,0,0,1,0,1,0,0,0,0,6.4,1
0.8,4.15,1039.0,1440,0,0.0,0,0,8.0,0.817424242,1,0,0,0,1,0,1,0,0,0,0,6.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.817102273,1,0,0,0,1,0,1,0,0,0,0,6.4,1
0.8,28.08,660.0,10440,63,0.0,0,0,58.0,0.801028213,1,0,0,0,0,1,1,0,0,0,0,46.400000000000006,1
0.8,28.08,749.0,10350,63,0.0,0,0,57.5,0.800594466,1,0,0,0,0,1,1,0,0,0,0,46.0,1
0.8,11.61,893.0,4710,50,0.0,0,0,31.5,0.800346445,1,0,0,0,0,1,1,0,0,0,0,25.200000000000003,1
0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,1,0,0,0,0,1,1,0,0,0,0,24.400000000000002,1
0.8,26.16,1252.5,10620,63,0.0,0,0,59.0,0.800117103,1,0,0,0,0,1,1,0,0,0,0,47.2,1
0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8,1,0,0,0,0,1,1,0,0,0,0,46.800000000000004,1
0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.750098351,1,0,0,0,0,1,1,0,0,0,0,42.0,1
0.5,12.52,749.0,9540,38,0.0,0,0,53.0,0.673245283,1,0,0,0,0,1,1,0,0,0,0,26.5,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.670075758,1,0,0,0,1,0,1,0,0,0,0,6.4,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.628882576,1,0,0,0,1,0,1,0,0,0,0,6.4,1
0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813,1,0,0,0,0,1,1,0,0,0,0,28.0,1
0.5,4.15,1039.0,1440,0,0.0,0,0,8.0,0.337973485,1,0,0,0,1,0,1,0,0,0,0,4.0,1
0.75,4.15,1039.0,1440,0,0.0,0,0,8.0,0.93532197,1,0,0,0,1,0,0,1,0,0,0,6.0,1
0.8,3.94,1039.0,3600,0,0.0,0,0,20.0,0.925643939,1,0,0,0,1,0,0,1,0,0,0,16.0,1
0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.900215716,1,0,0,0,0,1,0,1,0,0,0,47.2,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.873068182,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.858143939,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,26.16,1252.5,10620,75,0.0,0,0,59.0,0.850502311,1,0,0,0,0,1,0,1,0,0,0,47.2,1
0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,0,1,0,0,0,45.2,1
0.8,25.9,1209.0,10170,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,0,1,0,0,0,45.2,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.828295455,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.820833333,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,1,0,0,0,0,1,0,1,0,0,0,24.400000000000002,1
0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.800246753,1,0,0,0,0,1,0,1,0,0,0,25.200000000000003,1
0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8,1,0,0,0,0,1,0,1,0,0,0,46.800000000000004,1
0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8,1,0,0,0,0,1,0,1,0,0,0,46.800000000000004,1
0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815,1,0,0,0,0,1,0,1,0,0,0,44.0,1
0.8,4.15,1039.0,1440,0,0.0,0,0,8.0,0.668087121,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.653598485,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.5,4.15,1039.0,1440,0,0.0,0,0,8.0,0.609138258,1,0,0,0,1,0,0,1,0,0,0,4.0,1
0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.600229846,1,0,0,0,0,1,0,1,0,0,0,31.799999999999997,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.597348485,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.590435606,1,0,0,0,1,0,0,1,0,0,0,6.4,1
0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796,1,0,0,0,0,1,0,1,0,0,0,46.400000000000006,1
0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626,1,0,0,0,0,1,0,1,0,0,0,34.199999999999996,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.955151515,1,0,0,0,1,0,0,0,0,0,0,6.4,1
0.35,4.3,1039.0,3240,0,0.0,0,0,18.0,0.942213805,1,0,0,0,1,0,0,0,0,0,0,6.3,1
0.8,4.15,1039.0,1800,0,0.0,0,0,10.0,0.905454545,1,0,0,0,1,0,0,0,0,0,0,8.0,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.880530303,1,0,0,0,1,0,0,0,0,0,0,6.4,1
0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.858143939,1,0,0,0,1,0,0,0,0,0,0,6.4,1
0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167,1,0,0,0,0,1,0,0,0,0,0,47.2,1
0.8,26.16,1093.0,10620,75,0.0,0,0,59.0,0.850502311,1,0,0,0,0,1,0,0,0,0,0,47.2,1
0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,0,0,0,0,0,45.2,1
0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,1,0,0,0,0,0,45.2,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.817424242,1,0,0,0,1,0,0,0,0,0,0,6.4,1
0.65,4.15,1039.0,1440,0,0.0,0,0,8.0,0.809564394,1,0,0,0,1,0,0,0,0,0,0,5.2,1
0.8,19.87,941.0,9900,0,0.0,0,0,55.0,0.800273829,1,0,0,0,0,1,0,0,0,0,0,44.0,1
0.8,11.41,843.0,5670,50,0.0,0,0,31.5,0.800181818,1,0,0,0,0,1,0,0,0,0,0,25.200000000000003,1
0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657,1,0,0,0,0,1,0,0,0,0,0,25.200000000000003,1
0.8,28.08,737.0,10530,63,0.0,0,0,58.5,0.8,1,0,0,0,0,1,0,0,0,0,0,46.800000000000004,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.725,1,0,0,0,1,0,0,0,0,0,0,6.4,1
0.8,50.48,381.0,6930,45,0.0,0,0,58.5,0.688557555,1,0,0,0,0,1,0,0,0,0,0,46.800000000000004,1
0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783,1,0,0,0,0,1,0,0,0,0,0,38.35,1
0.65,12.52,1004.0,9540,44,0.0,0,0,53.0,0.64998056,1,0,0,0,0,1,0,0,0,0,0,34.45,1
0.8,2.9,1039.0,1440,0,0.0,0,0,8.0,0.648106061,1,0,0,0,1,0,0,0,0,0,0,6.4,1
